Comany_symbol,company_name,price_data,change,change_in_percentage,volume,Avgvol_In3Month,Market_cap,PE_ratio
JINDALSTEL.NS,Jindal Steel & Power Limited,88.85,0,0.00%,14.007M,18.974M,90.782B,N/A
ADANIPOWER.NS,Adani Power Limited,27.6,-2.5,-8.31%,13.998M,8.073M,106.452B,N/A
INFY.NS,Infosys Limited,652.7,9.7,1.51%,13.49M,8.867M,2.767T,"1,204.24"
IOC.NS,Indian Oil Corporation Limited,76.9,-1.1,-1.41%,13.439M,19.531M,723.949B,5.5
CANBK.NS,Canara Bank,90.05,2.65,3.03%,12.35M,9.173M,92.719B,9.34
NATIONALUM.NS,National Aluminium Company Limited,27.95,-1.15,-3.95%,11.544M,9.622M,52.144B,19.46
JPPOWER.BO,Jaiprakash Power Ventures Limited,0.6,0.02,3.45%,17.68M,4.008M,4.104B,N/A
TATASTEEL.NS,Tata Steel Limited,277.25,-7.2,-2.53%,11.182M,14.489M,333.845B,6.21
EQUITAS.NS,Equitas Holdings Limited,43.35,1.8,4.33%,10.498M,4.893M,14.799B,6.41
KOTAKBANK.NS,Kotak Mahindra Bank Limited,"1,399.10",26.15,1.90%,10.222M,3.725M,2.676T,30.65
MOTHERSUMI.NS,MOTHERSON SUMI SYS,63.15,-1,-1.56%,10.05M,N/A,N/A,N/A
MOTHERSUMI.NS,Motherson Sumi Systems Limited,63.15,-1,-1.56%,10.05M,12.442M,199.423B,14.29
TATAPOWER.NS,The Tata Power Company Limited,33.95,-1.25,-3.55%,9.979M,9.405M,91.958B,21.22
RPOWER.BO,Reliance Power Limited,1.13,0.04,3.67%,9.742M,1.054M,3.17B,0.32
RPOWER.BO,Reliance Power Limited,1.13,0.04,3.67%,9.742M,9.851M,3.17B,N/A
M&M.NS,Mahindra & Mahindra Limited,294.5,9,3.15%,9.505M,3.98M,366.119B,N/A
HINDALCO.NS,Hindalco Industries Limited,91.55,-3,-3.17%,9.156M,9.325M,204.148B,4.76
HCLTECH.NS,HCL Technologies Limited,430.65,-17.05,-3.81%,9.149M,4.444M,1.169T,790.18
INFIBEAM.NS,Infibeam Incorporation Limited,31.85,-1.25,-3.78%,9.116M,2.165M,21.107B,13.5
HDFC.NS,Housing Development Finance Corporation Limited,"1,754.00",20.75,1.20%,9.048M,4.318M,3.038T,13.95
ZEEL.NS,Zee Entertainment Enterprises Limited,128.05,-0.7,-0.54%,8.764M,15.322M,122.99B,7.76
YESBANK.BO,Yes Bank Limited,26.4,-0.25,-0.94%,8.21M,1.105M,60.789B,1.71
YESBANK.BO,Yes Bank Limited,26.4,-0.25,-0.94%,8.21M,12.059M,331.333B,N/A
M&MFIN.NS,Mahindra & Mahindra Financial Services Limited,160.9,-1.55,-0.95%,8.112M,2.656M,99.398B,N/A
KSERASERA.NS,KSS Limited,0.1,0.05,100.00%,8.012M,1.22M,811.633M,N/A
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,338.25,-0.05,-0.01%,7.743M,6.615M,811.573B,20.29
AMBUJACEM.NS,Ambuja Cements Limited,141.55,-2.5,-1.74%,7.706M,4.217M,281.36B,13.42
JPASSOCIAT.NS,Jaiprakash Associates Limited,1.1,-0.05,-4.35%,7.547M,5.85M,2.676B,N/A
NMDC.NS,NMDC Limited,73.55,3.7,5.30%,7.392M,9.395M,225.36B,4.79
INFRATEL.NS,Bharti Infratel Limited,156.8,0.3,0.19%,7.325M,7.756M,291.316B,8.9
RECLTD.NS,Rural Electrification Corporation Limited,85,-2.75,-3.13%,7.315M,5.677M,167.868B,2.92
RVNL.NS,Rail Vikas Nigam Limited,12.75,-0.05,-0.39%,7.234M,6.312M,26.48B,3.92
BAJFINANCE.NS,Bajaj Finance Limited,"2,542.30",-251.4,-9.00%,7.17M,2.099M,1.53T,27.09
AUROPHARMA.NS,Aurobindo Pharma Limited,392.25,30.85,8.54%,6.782M,4.888M,229.835B,8.96
HINDPETRO.NS,Hindustan Petroleum Corporation Limited,170.25,-7.05,-3.98%,6.765M,5.27M,259.43B,4.32
WIPRO.NS,Wipro Limited,183.5,0.9,0.49%,6.764M,3.878M,1.048T,11.01
LT.NS,Larsen & Toubro Limited,837.05,-0.95,-0.11%,6.572M,4.053M,1.175T,12.04
SBIN.BO,State Bank of India,196.05,3.2,1.66%,6.482M,2.105M,1.749T,12.39
CIPLA.NS,Cipla Limited,407.65,21.5,5.57%,6.471M,3.341M,329.087B,19.72
NBCC.NS,NBCC (India) Limited,16.6,1,6.41%,6.349M,13.804M,29.976B,21.76
JSWSTEEL.NS,JSW Steel Limited,151.45,1.65,1.10%,6.107M,7.827M,363.589B,6.88
BPCL.NS,Bharat Petroleum Corporation Limited,278.75,-3.55,-1.26%,6.078M,7.801M,604.893B,7.01
CPSEETF.NS,NIPPON INDIA MF,15.46,0.5,3.34%,6.042M,N/A,N/A,N/A
CPSEETF.NS,CPSE ETF,15.46,0.5,3.34%,6.042M,9.926M,N/A,N/A
GTLINFRA.NS,GTL Infrastructure Limited,0.2,-0.05,-20.00%,5.669M,5.444M,2.365B,N/A
RCOM.NS,Reliance Communications Limited,0.7,0,0.00%,5.529M,9.05M,1.866B,N/A
PEL.NS,Piramal Enterprises Limited,849.05,30.9,3.78%,5.515M,2.177M,191.727B,7.77
LEMONTREE.BO,Lemon Tree Hotels Limited,23.25,0.45,1.97%,5.316M,N/A,N/A,N/A
ICICIPRULI.NS,ICICI Prudential Life Insurance Company Limited,318.4,-10.9,-3.31%,5.094M,2.481M,456.971B,39.79
LICHSGFIN.NS,LIC Housing Finance Limited,237.25,8.65,3.78%,5.047M,5.318M,119.731B,4.47
PFC.NS,Power Finance Corporation Limited,88.25,-4.15,-4.49%,4.971M,9.495M,232.735B,2.47
DISHTV.NS,Dish TV India Limited,4.45,-0.2,-4.30%,4.936M,18.88M,8.194B,N/A
